txn_id,member_id,date,request_type,revenue,variable_cost,partner_fee,sla_met
T201453,M100136,2025-09-21,Dining,4.66,7.28,0.84,1
T201454,M100414,2026-01-01,Gifts,13.84,9.09,1.62,0
T201455,M101302,2025-12-19,Dining,9.06,8.61,1.54,1
T201456,M101640,2025-12-21,Travel,21.61,8.64,0.71,1
T201457,M101387,2025-11-05,Lifestyle,13.85,5.68,0.69,1
T201458,M100946,2025-10-23,Travel,23.77,10.15,0.77,1
T201459,M101084,2025-12-01,Dining,10.6,8.59,0.98,1
T201460,M100944,2026-01-09,Gifts,12.49,6.05,1.58,1
T201461,M101039,2025-10-25,Travel,16.83,8.38,1.24,1
T201462,M101386,2026-01-07,Events,19.97,11.25,1.13,1
T201463,M100089,2025-09-17,Dining,8.95,7.0,0.99,1
T201464,M100377,2025-11-05,Events,19.3,13.42,0.24,1
T201465,M100107,2025-12-08,Dining,14.06,6.47,0.23,1
T201466,M101433,2026-01-15,Gifts,7.73,6.96,0.63,0
T201467,M101309,2025-10-12,Travel,18.64,8.75,0.48,1
T201468,M100095,2025-11-08,Travel,14.28,5.66,0.32,1
T201469,M100190,2025-09-20,Lifestyle,10.73,5.01,1.24,1
T201470,M100476,2025-10-21,Lifestyle,15.32,5.26,0.82,1
T201471,M100435,2025-10-06,Events,20.65,8.17,0.6,1
T201472,M100934,2026-02-09,Lifestyle,7.05,6.3,0.45,1
T201473,M100897,2026-02-21,Dining,8.13,7.64,1.16,0
T201474,M100643,2025-10-30,Events,18.84,8.5,0.88,1
T201475,M100295,2026-02-25,Lifestyle,16.32,7.3,0.38,1
T201476,M101168,2025-09-18,Events,17.67,7.46,0.74,0
T201477,M101421,2025-09-20,Travel,23.63,10.16,1.56,1
T201478,M101152,2025-11-12,Lifestyle,8.33,4.91,1.26,1
T201479,M101453,2025-10-17,Dining,12.74,6.53,0.92,1
T201480,M101645,2025-12-12,Dining,13.97,7.64,1.03,1
T201481,M101515,2025-09-06,Gifts,11.76,9.08,0.74,1
T201482,M101172,2026-02-19,Dining,9.42,4.97,0.81,1
T201483,M100089,2026-01-04,Dining,12.43,5.61,0.5,1
T201484,M100602,2025-10-23,Travel,16.31,11.52,0.66,1
T201485,M100770,2025-10-07,Travel,21.44,8.89,1.07,1
T201486,M101282,2026-01-13,Events,18.02,10.25,1.4,1
T201487,M101524,2025-10-04,Gifts,9.04,5.69,1.02,1
T201488,M101152,2025-12-05,Events,15.49,9.21,1.24,1
T201489,M100653,2025-09-24,Gifts,19.77,8.57,0.18,1
T201490,M101417,2026-01-08,Dining,7.09,8.35,1.07,1
T201491,M101252,2025-10-24,Travel,25.25,9.07,1.02,1
T201492,M101436,2026-01-19,Lifestyle,16.95,8.38,0.63,0
T201493,M101060,2026-02-01,Travel,20.24,10.19,0.88,1
T201494,M101164,2025-10-22,Dining,9.62,3.05,1.37,1
T201495,M100624,2025-10-26,Lifestyle,6.88,4.88,1.05,0
T201496,M100719,2026-01-04,Travel,21.22,8.15,0.79,1
T201497,M100497,2025-11-09,Events,14.28,10.12,1.54,1
T201498,M100462,2025-09-09,Dining,3.03,4.42,0.91,1
T201499,M101174,2025-12-27,Gifts,10.77,6.16,1.43,1
T201500,M100690,2025-11-27,Dining,11.47,7.52,0.76,1
T201501,M100240,2026-01-19,Events,16.98,10.52,0.91,1
T201502,M100063,2025-11-24,Gifts,8.14,5.74,1.42,1
T201503,M101548,2025-09-19,Gifts,13.4,4.84,0.56,1
T201504,M100783,2025-11-03,Dining,10.17,7.67,1.73,1
T201505,M101037,2026-01-31,Dining,11.68,4.99,0.64,1
T201506,M101628,2025-10-15,Lifestyle,18.2,9.48,1.14,1
T201507,M100200,2025-12-12,Lifestyle,10.0,5.97,1.09,1
T201508,M101687,2026-02-22,Dining,11.77,6.72,0.51,1
T201509,M101266,2025-11-05,Travel,22.17,11.55,0.37,1
T201510,M101152,2026-01-03,Gifts,13.31,7.16,0.45,1
T201511,M100776,2025-09-04,Lifestyle,8.67,6.46,0.83,0
T201512,M101271,2025-08-30,Lifestyle,13.76,6.72,1.14,1
T201513,M100367,2025-10-28,Gifts,10.0,5.92,0.8,1
T201514,M100543,2025-11-04,Dining,7.73,2.75,0.71,1
T201515,M101729,2026-01-02,Gifts,16.14,8.37,0.68,1
T201516,M100496,2026-02-13,Lifestyle,13.45,5.05,0.83,0
T201517,M101295,2026-02-15,Travel,16.74,8.58,0.78,1
T201518,M101674,2025-12-04,Events,16.02,7.78,0.74,1
T201519,M101067,2025-12-30,Dining,13.28,6.67,0.54,1
T201520,M100535,2025-09-06,Travel,20.97,10.22,0.61,1
T201521,M101527,2026-01-04,Lifestyle,13.4,7.2,1.19,1
T201522,M101487,2026-01-18,Dining,10.64,6.93,0.66,1
T201523,M100978,2025-10-01,Gifts,10.5,4.53,1.18,0
T201524,M100206,2025-09-28,Dining,15.65,5.14,0.94,1
T201525,M100794,2025-12-20,Travel,20.31,9.01,1.57,1
T201526,M100776,2026-02-11,Events,18.23,10.64,0.95,1
T201527,M100341,2026-02-08,Dining,10.23,6.97,1.1,1
T201528,M100723,2025-11-24,Gifts,5.62,7.14,0.53,1
T201529,M100276,2025-09-22,Travel,27.76,11.41,0.42,1
T201530,M101246,2025-12-18,Gifts,10.63,7.81,1.57,0
T201531,M100777,2026-02-22,Lifestyle,13.9,8.13,1.22,1
T201532,M101314,2025-12-20,Travel,16.4,9.39,0.45,0
T201533,M100820,2026-02-25,Dining,16.41,7.03,1.13,1
T201534,M101284,2025-12-11,Lifestyle,9.35,8.06,1.16,1
T201535,M101319,2025-12-02,Travel,15.18,12.21,1.46,1
T201536,M100288,2025-10-17,Dining,10.45,4.39,0.6,1
T201537,M100795,2026-02-13,Lifestyle,9.95,7.98,0.85,1
T201538,M101349,2025-12-01,Dining,12.15,3.11,0.72,1
T201539,M101067,2026-01-25,Events,20.89,7.15,0.98,1
T201540,M100398,2025-12-04,Dining,8.55,6.84,0.76,1
T201541,M101498,2025-09-01,Gifts,14.7,6.81,1.15,1
T201542,M100359,2025-10-15,Gifts,9.77,4.54,0.41,1
T201543,M101788,2025-09-27,Events,15.69,7.71,0.96,0
T201544,M101272,2026-02-19,Events,22.11,12.3,0.41,1
T201545,M100580,2025-10-11,Dining,13.46,6.74,1.31,1
T201546,M100350,2025-09-23,Dining,6.98,6.0,0.81,1
T201547,M101623,2025-10-28,Lifestyle,12.9,8.43,0.84,1
T201548,M100942,2025-10-08,Lifestyle,13.84,7.4,1.19,1
T201549,M101450,2026-02-17,Gifts,11.75,5.31,0.97,1
T201550,M101497,2025-10-16,Gifts,12.32,7.7,0.9,1
T201551,M100122,2025-09-28,Events,19.22,8.89,0.69,1
T201552,M101230,2026-01-15,Events,21.37,10.8,0.83,1
T201553,M100601,2025-12-03,Gifts,10.62,3.51,0.56,1
T201554,M101633,2025-12-11,Dining,6.12,4.98,0.55,1
T201555,M100394,2026-02-08,Travel,24.03,10.73,1.02,1
T201556,M100060,2026-02-02,Dining,13.41,3.98,0.43,1
T201557,M101195,2026-01-02,Travel,23.51,9.86,0.82,1
T201558,M100993,2026-02-06,Gifts,14.89,4.6,0.98,1
T201559,M100999,2025-11-27,Travel,28.23,13.14,1.02,1
T201560,M100473,2026-02-15,Gifts,9.55,10.01,0.09,0
T201561,M100890,2026-02-23,Lifestyle,13.58,5.69,0.67,1
T201562,M101735,2025-11-04,Lifestyle,11.32,3.75,1.19,1
T201563,M101374,2026-01-11,Lifestyle,7.23,7.57,1.1,0
T201564,M101772,2025-12-19,Lifestyle,10.4,6.44,0.92,0
T201565,M100599,2025-12-27,Travel,13.37,10.31,0.72,1
T201566,M101566,2025-12-03,Gifts,14.38,7.86,0.83,1
T201567,M100688,2025-12-04,Gifts,14.06,7.75,1.03,1
T201568,M101684,2026-02-02,Lifestyle,12.17,9.06,0.77,1
T201569,M101558,2026-02-25,Events,16.9,11.16,1.08,1
T201570,M100296,2025-12-08,Travel,18.37,12.94,1.23,1
T201571,M101749,2025-11-16,Lifestyle,16.04,11.21,0.78,1
T201572,M101093,2025-10-10,Gifts,13.36,5.31,1.1,1
T201573,M101397,2026-01-21,Dining,7.85,7.93,0.72,1
T201574,M101042,2026-02-10,Events,18.92,8.84,0.77,1
T201575,M100390,2025-11-10,Events,23.36,7.19,1.11,1
T201576,M101772,2025-09-16,Events,16.07,9.43,1.58,1
T201577,M100202,2026-01-13,Lifestyle,10.38,4.71,0.83,1
T201578,M101456,2026-02-10,Events,18.38,8.5,1.73,0
T201579,M100376,2025-12-15,Lifestyle,13.15,3.95,0.71,1
T201580,M101414,2025-11-17,Travel,24.56,11.85,1.27,1
T201581,M100760,2025-11-05,Dining,8.65,4.39,1.26,1
T201582,M100425,2026-02-05,Travel,26.91,10.55,1.34,1
T201583,M100426,2025-10-30,Events,18.76,11.4,0.77,1
T201584,M100575,2025-12-26,Lifestyle,7.48,7.09,1.08,1
T201585,M101621,2026-02-20,Events,19.35,12.58,0.96,1
T201586,M101384,2025-09-12,Travel,21.67,11.1,0.85,1
T201587,M101207,2025-11-21,Events,19.68,11.33,0.88,1
T201588,M101133,2026-01-02,Lifestyle,9.58,4.12,0.42,1
T201589,M100750,2025-10-02,Dining,13.62,7.23,0.88,1
T201590,M101622,2025-10-05,Dining,11.75,9.29,0.76,1
T201591,M100492,2026-01-19,Events,18.68,7.39,0.82,1
T201592,M101697,2025-09-06,Gifts,13.08,6.02,0.48,1
T201593,M100685,2025-11-22,Travel,25.13,10.27,0.79,1
T201594,M100614,2026-01-09,Dining,11.2,7.09,1.0,1
T201595,M100856,2025-12-07,Events,15.07,9.87,0.59,1
T201596,M101347,2026-01-23,Dining,11.39,6.84,1.01,1
T201597,M101284,2025-09-26,Dining,11.9,10.25,0.94,1
T201598,M101380,2026-01-08,Travel,22.06,7.64,0.78,1
T201599,M100160,2025-12-09,Dining,17.47,1.77,1.1,1
T201600,M100289,2026-02-13,Travel,20.82,10.0,1.24,1
T201601,M101527,2025-09-09,Gifts,8.72,8.3,0.74,1
T201602,M101765,2026-01-02,Dining,15.06,7.22,0.66,1
T201603,M100229,2025-10-31,Events,15.53,8.59,1.12,1
T201604,M101627,2025-12-24,Events,21.44,7.21,0.69,1
T201605,M100472,2025-11-16,Dining,15.27,6.95,0.48,1
T201606,M101762,2025-11-17,Gifts,18.97,6.55,1.15,1
T201607,M101788,2026-01-04,Dining,10.36,5.69,0.71,1
T201608,M101146,2025-12-10,Lifestyle,8.99,5.75,1.08,1
T201609,M100342,2025-11-10,Events,12.19,9.74,0.44,1
T201610,M101418,2026-01-17,Travel,26.05,9.67,0.98,1
T201611,M100182,2026-02-02,Lifestyle,13.69,5.97,0.9,1
T201612,M100601,2026-01-24,Travel,20.91,10.48,1.18,1
T201613,M101149,2025-12-13,Travel,14.57,9.47,0.29,1
T201614,M100121,2026-01-18,Travel,19.31,7.29,0.45,1
T201615,M100707,2026-01-05,Events,13.53,9.17,1.33,1
T201616,M101434,2025-10-25,Gifts,14.68,3.72,0.87,1
T201617,M100165,2025-10-28,Gifts,12.16,7.17,0.5,1
T201618,M100660,2025-09-09,Lifestyle,15.16,6.55,1.04,1
T201619,M100006,2025-10-11,Lifestyle,6.69,3.95,0.72,1
T201620,M101184,2025-12-11,Dining,10.75,10.99,0.65,1
T201621,M100142,2025-09-11,Lifestyle,10.97,6.79,1.48,1
T201622,M100505,2025-09-13,Dining,10.31,7.9,0.74,1
T201623,M100940,2026-01-17,Lifestyle,6.07,5.87,0.2,1
T201624,M100386,2026-01-26,Dining,7.73,8.36,0.78,1
T201625,M100415,2025-09-19,Travel,18.56,10.83,0.62,1
T201626,M101502,2025-09-18,Travel,21.05,9.0,0.07,1
T201627,M101399,2025-09-26,Dining,10.02,9.25,1.13,1
T201628,M100145,2025-12-05,Lifestyle,18.3,9.64,1.34,1
T201629,M101543,2025-09-23,Dining,14.1,5.25,1.02,1
T201630,M100842,2025-10-10,Travel,18.21,10.42,0.83,1
T201631,M100260,2025-10-15,Lifestyle,21.02,11.26,0.74,1
T201632,M101632,2025-11-09,Events,15.6,8.85,0.83,1
T201633,M100606,2026-01-08,Events,14.73,10.5,1.19,1
T201634,M100586,2025-10-14,Lifestyle,16.34,8.99,0.16,1
T201635,M100263,2025-09-20,Dining,12.05,7.97,0.88,1
T201636,M101595,2025-09-19,Travel,24.59,13.67,1.26,1
T201637,M100516,2025-11-10,Dining,8.29,1.09,0.43,1
T201638,M101066,2026-02-18,Dining,11.56,5.65,1.21,1
T201639,M100430,2025-10-15,Dining,10.89,5.46,1.46,1
T201640,M101611,2026-01-11,Events,17.09,9.03,0.69,1
T201641,M101416,2026-01-20,Travel,21.6,7.92,0.42,0
T201642,M100905,2026-02-11,Gifts,8.86,5.81,0.68,1
T201643,M100621,2026-01-28,Gifts,10.2,3.74,1.02,0
T201644,M101179,2025-11-29,Travel,25.08,8.24,1.76,0
T201645,M100892,2026-01-07,Events,25.01,15.46,0.62,1
T201646,M101693,2025-12-19,Dining,10.72,5.83,0.64,0
T201647,M101213,2025-11-25,Gifts,11.18,8.89,0.86,1
T201648,M100048,2025-11-23,Travel,18.15,11.12,0.94,1
T201649,M101480,2025-12-13,Lifestyle,8.47,5.85,0.89,1
T201650,M100347,2025-12-06,Events,23.63,13.37,0.31,1
T201651,M100542,2025-09-19,Gifts,9.23,4.39,0.47,1
T201652,M100784,2026-01-06,Travel,27.62,10.31,1.18,1
T201653,M100376,2026-02-23,Travel,16.45,10.6,1.35,1
T201654,M101696,2025-10-04,Travel,22.1,10.51,0.43,1
T201655,M101761,2026-02-11,Events,21.52,9.07,1.32,1
T201656,M100280,2025-10-09,Events,20.93,5.83,0.09,1
T201657,M100576,2025-12-29,Lifestyle,14.09,7.99,0.99,1
T201658,M100667,2025-09-27,Dining,10.8,8.25,0.78,0
T201659,M101207,2026-01-26,Lifestyle,8.63,5.74,1.02,1
T201660,M101075,2026-01-27,Lifestyle,17.67,7.68,0.42,1
T201661,M101220,2025-12-14,Dining,13.94,7.05,1.18,1
T201662,M100055,2025-12-12,Dining,10.56,7.99,0.79,1
T201663,M100925,2025-10-19,Events,20.99,10.76,0.63,1
T201664,M100379,2025-11-01,Dining,8.24,6.07,0.73,1
T201665,M100411,2025-08-31,Dining,8.86,9.77,1.15,1
T201666,M101394,2025-10-27,Events,14.64,7.75,0.87,1
T201667,M100254,2026-01-20,Events,16.92,3.06,1.01,1
T201668,M100056,2026-02-10,Dining,6.55,1.28,1.14,1
T201669,M100876,2026-01-09,Lifestyle,14.33,7.4,0.64,1
T201670,M101324,2025-09-01,Dining,13.96,1.92,0.67,1
T201671,M100919,2025-10-10,Dining,12.87,4.86,1.8,1
T201672,M100290,2025-10-15,Dining,11.1,8.02,0.43,1
T201673,M101392,2026-01-08,Lifestyle,13.13,2.08,0.15,1
T201674,M100687,2025-12-03,Lifestyle,8.96,5.57,0.62,1
T201675,M101277,2025-10-22,Dining,13.77,6.46,0.78,1
T201676,M100363,2025-09-08,Gifts,12.38,3.83,1.15,1
T201677,M101641,2025-11-12,Dining,6.33,6.45,0.66,1
T201678,M100510,2026-02-22,Dining,13.31,7.15,1.16,1
T201679,M101747,2025-09-25,Dining,13.48,7.71,0.72,1
T201680,M100679,2025-09-10,Lifestyle,12.04,7.41,1.07,1
T201681,M101310,2026-02-19,Travel,16.94,8.62,1.28,0
T201682,M100903,2025-12-17,Events,14.5,9.15,0.67,1
T201683,M100137,2025-09-02,Dining,6.08,8.89,1.19,1
T201684,M100176,2025-09-07,Lifestyle,14.47,9.08,0.49,1
T201685,M100729,2025-09-05,Lifestyle,15.1,8.58,0.92,1
T201686,M100347,2025-09-03,Dining,17.22,8.98,0.96,1
T201687,M101095,2026-02-21,Gifts,11.55,4.82,0.94,1
T201688,M100248,2026-01-29,Gifts,8.87,5.53,0.98,1
T201689,M101062,2025-11-28,Lifestyle,7.92,6.84,0.96,1
T201690,M100368,2025-11-09,Events,17.88,8.94,0.0,1
T201691,M100326,2025-12-15,Dining,11.79,7.1,0.95,1
T201692,M100660,2026-01-08,Travel,23.94,14.47,0.31,1
T201693,M101049,2026-01-11,Events,15.85,9.14,0.68,1
T201694,M100719,2025-11-09,Events,14.95,5.84,1.17,1
T201695,M100629,2025-09-02,Dining,10.34,4.4,1.07,1
T201696,M100612,2025-09-30,Lifestyle,12.34,6.38,1.4,1
T201697,M100610,2026-01-25,Lifestyle,13.16,5.93,1.03,1
T201698,M100726,2026-01-30,Events,22.07,8.41,0.62,1
T201699,M101501,2026-01-09,Events,17.59,8.42,0.43,1
T201700,M101040,2025-10-17,Events,21.4,9.29,1.31,0
T201701,M100759,2026-02-24,Events,16.48,10.4,0.51,1
T201702,M101349,2025-10-22,Dining,13.12,8.74,0.48,1
T201703,M100949,2025-11-13,Travel,22.19,11.6,0.91,1
T201704,M101708,2025-10-30,Travel,20.46,7.83,1.31,1
T201705,M101013,2025-09-24,Lifestyle,9.55,4.88,0.91,1
T201706,M100388,2025-11-11,Dining,11.18,3.23,0.78,1
T201707,M101013,2025-11-06,Travel,15.83,11.52,0.62,1
T201708,M101392,2025-12-01,Events,21.22,9.6,1.02,1
T201709,M100383,2025-10-31,Lifestyle,8.52,8.88,0.26,1
T201710,M100363,2025-12-19,Events,13.98,10.45,0.39,1
T201711,M101079,2026-02-14,Travel,18.7,8.7,0.6,1
T201712,M101592,2026-02-21,Events,12.86,5.3,0.61,1
T201713,M100602,2025-10-20,Travel,11.23,10.05,0.68,1
T201714,M100912,2025-11-03,Events,15.82,13.14,1.22,1
T201715,M101179,2025-12-14,Gifts,16.81,9.04,1.34,1
T201716,M101194,2025-10-14,Events,16.03,8.27,0.56,1
T201717,M100262,2025-12-02,Events,20.0,10.87,0.79,1
T201718,M100711,2026-01-11,Dining,15.06,7.92,0.62,1
T201719,M101789,2025-11-12,Gifts,9.55,8.28,0.68,1
T201720,M101599,2025-12-19,Lifestyle,9.79,5.06,1.07,1
T201721,M101389,2025-09-03,Events,17.73,9.28,1.28,1
T201722,M100043,2025-10-19,Lifestyle,15.74,4.82,1.32,1
T201723,M100751,2025-10-14,Events,15.81,5.98,0.9,1
T201724,M100092,2025-10-25,Gifts,12.21,7.86,0.25,1
T201725,M100542,2025-10-25,Travel,19.35,11.75,0.41,1
T201726,M101556,2025-10-09,Lifestyle,10.69,6.01,0.28,1
T201727,M100698,2025-12-10,Dining,11.83,5.84,1.24,1
T201728,M100303,2025-10-01,Dining,8.32,6.63,0.66,1
T201729,M101298,2026-02-19,Dining,7.95,8.68,0.93,1
T201730,M101366,2025-10-29,Events,14.22,10.11,1.42,1
T201731,M101179,2025-11-21,Events,24.44,11.22,0.51,1
T201732,M101456,2026-02-24,Gifts,13.59,7.24,0.78,1
T201733,M101263,2025-10-30,Dining,11.08,8.08,0.91,1
T201734,M101142,2026-02-25,Gifts,15.28,4.67,0.38,1
T201735,M101600,2025-10-22,Dining,9.59,6.97,1.17,1
T201736,M100583,2025-11-23,Gifts,9.72,3.68,1.31,1
T201737,M100821,2025-11-08,Travel,14.47,11.44,1.13,1
T201738,M101013,2025-11-08,Travel,17.81,11.03,1.13,1
T201739,M101205,2026-01-02,Travel,29.38,11.99,0.92,1
T201740,M100857,2025-11-05,Travel,23.87,10.12,1.01,1
T201741,M100794,2026-01-17,Gifts,13.67,8.07,1.31,1
T201742,M100297,2025-10-12,Lifestyle,11.25,6.49,1.27,1
T201743,M101148,2026-02-09,Events,21.24,9.81,1.03,1
T201744,M100222,2026-01-31,Travel,15.58,10.1,0.59,1
T201745,M100854,2025-10-22,Travel,25.73,11.19,0.0,1
T201746,M100736,2026-02-15,Events,22.98,12.73,1.36,1
T201747,M101397,2025-09-04,Travel,18.53,6.6,1.48,1
T201748,M100857,2026-02-20,Gifts,7.94,6.39,0.69,1
T201749,M100009,2025-11-23,Events,15.85,4.86,1.29,1
T201750,M100910,2025-09-01,Travel,23.59,11.17,0.14,1
T201751,M100388,2025-10-27,Lifestyle,5.68,4.85,1.14,1
T201752,M100684,2025-11-04,Dining,13.49,6.86,1.04,1
T201753,M100533,2025-10-24,Gifts,4.29,4.61,0.67,1
T201754,M100299,2025-10-21,Travel,14.46,8.03,1.59,1
T201755,M101701,2026-01-27,Dining,11.26,5.82,0.81,1
T201756,M100456,2026-01-01,Dining,13.96,6.15,1.22,1
T201757,M100912,2026-01-22,Gifts,11.18,7.84,1.55,1
T201758,M101490,2026-01-18,Dining,13.82,5.27,0.86,1
T201759,M100655,2026-01-19,Lifestyle,10.38,6.85,1.21,1
T201760,M101687,2025-11-03,Travel,20.21,11.18,0.88,1
T201761,M100727,2025-09-11,Travel,26.59,10.99,1.01,1
T201762,M101704,2025-11-17,Gifts,14.07,6.68,0.56,1
T201763,M100813,2026-02-23,Dining,8.13,3.67,0.95,1
T201764,M100025,2025-10-24,Dining,9.35,4.37,0.96,1
T201765,M101562,2025-11-20,Travel,20.69,11.41,0.94,1
T201766,M101555,2025-10-09,Events,14.38,4.48,1.3,1
T201767,M101732,2025-12-20,Travel,18.28,8.89,1.0,1
T201768,M100223,2025-12-10,Travel,19.09,9.63,0.54,1
T201769,M101519,2025-10-30,Gifts,9.41,6.44,1.09,1
T201770,M100614,2025-10-21,Lifestyle,7.52,7.11,0.69,1
T201771,M101514,2026-01-17,Travel,20.69,9.1,0.96,1
T201772,M101734,2025-11-12,Gifts,10.29,5.32,0.95,1
T201773,M100358,2025-09-05,Dining,6.81,4.47,1.15,0
T201774,M100668,2026-02-14,Events,20.92,12.13,0.97,0
T201775,M100483,2025-12-28,Travel,27.79,11.83,1.11,1
T201776,M100548,2025-11-21,Events,17.98,9.03,0.95,1
T201777,M101072,2025-09-12,Dining,16.2,5.87,1.7,1
T201778,M100742,2025-09-04,Dining,8.43,5.52,0.78,0
T201779,M101181,2025-11-11,Travel,20.42,9.41,0.71,1
T201780,M101213,2025-11-19,Travel,23.66,8.71,1.12,1
T201781,M100364,2025-12-13,Travel,17.71,11.97,0.75,1
T201782,M100079,2025-12-07,Travel,17.18,7.92,1.18,0
T201783,M101343,2025-10-16,Dining,6.1,5.25,0.48,1
T201784,M100326,2025-11-20,Events,19.23,13.85,0.96,0
T201785,M100359,2025-11-18,Travel,13.96,9.24,1.07,1
T201786,M101082,2025-09-27,Dining,13.76,5.04,0.52,1
T201787,M100473,2026-02-01,Dining,14.88,8.88,1.04,1
T201788,M100341,2025-09-06,Events,14.92,6.1,0.22,1
T201789,M100552,2025-10-22,Events,15.99,7.25,0.92,1
T201790,M100940,2025-11-12,Gifts,11.5,7.44,1.32,1
T201791,M101522,2025-11-13,Dining,11.6,9.86,0.6,1
T201792,M101779,2025-11-14,Events,19.63,11.19,0.88,1
T201793,M101317,2025-11-16,Events,18.66,10.66,0.61,1
T201794,M101617,2025-12-24,Lifestyle,6.99,8.51,1.15,1
T201795,M100955,2025-10-16,Gifts,8.4,6.09,1.19,1
T201796,M100734,2026-01-11,Dining,17.45,4.86,1.09,1
T201797,M101475,2025-10-31,Lifestyle,9.32,4.74,1.17,1
T201798,M100544,2025-11-23,Travel,20.21,12.92,0.67,1
T201799,M101463,2025-12-22,Lifestyle,10.8,4.46,0.87,1
T201800,M101796,2025-10-04,Travel,17.77,9.25,0.5,1
T201801,M100701,2025-12-30,Events,15.77,9.43,0.58,1
T201802,M101140,2025-10-30,Events,22.2,11.39,0.84,1
T201803,M101406,2026-01-11,Dining,14.63,7.69,1.32,1
T201804,M101410,2026-01-20,Gifts,9.7,7.18,0.6,1
T201805,M100371,2025-11-14,Dining,6.58,11.33,1.01,1
T201806,M101732,2025-09-03,Dining,12.17,7.39,0.6,1
T201807,M100905,2026-01-03,Travel,20.78,12.11,0.49,1
T201808,M100075,2026-02-05,Lifestyle,17.76,7.61,1.39,0
T201809,M100212,2026-02-04,Lifestyle,11.15,9.61,1.3,0
T201810,M101309,2025-11-29,Events,20.83,7.11,0.63,1
T201811,M100768,2025-10-08,Events,20.81,11.19,0.79,1
T201812,M100194,2025-10-20,Dining,20.12,6.42,0.96,1
T201813,M100936,2026-01-19,Travel,24.08,12.24,0.55,1
T201814,M101079,2025-09-28,Lifestyle,14.0,7.0,1.08,1
T201815,M100143,2026-01-27,Gifts,8.44,8.33,0.34,0
T201816,M100630,2025-11-17,Gifts,11.13,8.42,0.72,1
T201817,M100832,2025-09-26,Travel,27.02,11.8,0.78,1
T201818,M101404,2025-10-03,Gifts,14.37,9.33,1.06,1
T201819,M101173,2025-10-22,Lifestyle,8.66,4.53,1.34,1
T201820,M100156,2025-12-28,Lifestyle,12.32,3.43,0.53,1
T201821,M101105,2025-10-11,Events,14.5,4.56,0.85,1
T201822,M101624,2025-12-18,Dining,9.4,9.29,1.1,1
T201823,M100097,2025-12-24,Lifestyle,12.64,6.48,0.87,1
T201824,M101775,2025-11-22,Events,15.37,10.23,0.82,1
T201825,M100171,2025-11-06,Dining,13.39,6.88,1.18,1
T201826,M101120,2026-01-19,Dining,6.96,6.59,0.24,1
T201827,M100632,2025-09-11,Events,19.23,8.09,0.81,1
T201828,M101315,2025-09-22,Lifestyle,12.0,6.58,0.91,1
T201829,M101516,2026-01-06,Lifestyle,10.25,3.37,0.88,1
T201830,M101533,2026-01-13,Lifestyle,10.18,2.63,0.62,1
T201831,M101565,2026-02-13,Events,17.01,7.01,1.2,1
T201832,M101469,2025-12-14,Lifestyle,9.85,4.48,0.99,1
T201833,M100557,2026-01-26,Dining,8.87,8.48,0.0,1
T201834,M100837,2025-09-11,Dining,11.12,10.57,1.11,1
T201835,M101294,2025-09-17,Dining,12.72,8.68,0.84,1
T201836,M100303,2025-09-29,Gifts,12.39,0.29,1.2,1
T201837,M101039,2026-01-06,Lifestyle,8.41,9.2,1.36,1
T201838,M100954,2025-10-24,Lifestyle,9.53,5.32,0.92,1
T201839,M101770,2025-11-29,Lifestyle,8.46,3.19,0.63,1
T201840,M100089,2026-01-07,Events,15.15,11.94,1.21,1
T201841,M100170,2025-11-21,Gifts,11.67,5.28,1.41,1
T201842,M100054,2026-01-27,Travel,15.05,7.78,1.01,1
T201843,M100986,2025-09-06,Gifts,14.13,5.64,0.88,1
T201844,M100991,2026-01-27,Gifts,15.41,5.42,1.23,1
T201845,M101066,2026-01-02,Travel,23.2,11.56,0.6,1
T201846,M100435,2026-01-17,Dining,12.68,7.88,0.93,1
T201847,M100553,2025-11-24,Travel,17.27,8.35,0.74,1
T201848,M100750,2025-10-28,Lifestyle,11.84,3.1,1.1,1
T201849,M100084,2025-09-06,Events,14.83,7.1,0.83,1
T201850,M101354,2025-12-18,Travel,19.81,9.95,0.84,1
T201851,M100093,2026-01-20,Lifestyle,6.44,4.69,1.1,1
T201852,M101200,2026-02-22,Travel,18.68,9.76,1.38,1
T201853,M100816,2025-11-10,Travel,21.23,9.51,1.12,1
T201854,M101797,2025-09-02,Gifts,17.92,9.57,1.19,1
T201855,M101246,2026-02-14,Travel,20.56,10.02,1.27,1
T201856,M100855,2025-08-30,Travel,16.35,11.08,0.79,1
T201857,M101260,2026-01-09,Gifts,16.29,6.2,0.97,1
T201858,M100211,2025-09-15,Travel,18.92,12.46,0.86,1
T201859,M100325,2026-02-13,Travel,24.26,9.64,0.9,1
T201860,M100898,2025-09-18,Dining,15.35,5.09,0.77,1
T201861,M101544,2025-12-28,Lifestyle,10.79,8.41,0.84,1
T201862,M101476,2026-01-07,Events,18.36,8.22,0.8,0
T201863,M100678,2026-01-19,Lifestyle,18.56,4.64,0.64,1
T201864,M100510,2026-02-01,Events,17.83,8.61,0.04,1
T201865,M101735,2025-10-05,Dining,11.07,5.71,0.91,1
T201866,M101017,2026-02-13,Travel,14.49,9.02,1.44,1
T201867,M100212,2025-12-04,Travel,20.09,10.25,1.08,1
T201868,M100404,2025-09-08,Gifts,10.89,7.39,0.85,1
